weather_hour,temperature_c,wind_speed_kmh,visibility_km,precipitation_mm,is_precipitation,is_low_visibility,is_windy,is_cold
2023-01-09 04:00:00,3.9,219.42,,0.0,False,False,True,False
2023-01-09 05:00:00,4.4,82.8,,0.0,False,False,True,False
2023-01-09 06:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-09 07:00:00,3.3,86.4,,0.0,False,False,True,False
2023-01-09 08:00:00,3.3,359.64,9.66,0.3,True,False,True,False
2023-01-09 09:00:00,2.8,233.82,,0.2,True,False,True,False
2023-01-09 10:00:00,2.8,359.64,,0.0,False,False,True,False
2023-01-09 11:00:00,3.3,274.56,,0.6,True,False,True,False
2023-01-09 12:00:00,3.3,359.64,,0.0,False,False,True,False
2023-01-09 13:00:00,3.3,97.2,,0.0,False,False,True,False
2023-01-09 14:00:00,3.3,359.64,,0.0,False,False,True,False
2023-01-09 15:00:00,5.0,100.8,,0.0,False,False,True,False
2023-01-09 16:00:00,5.6,359.64,,0.0,False,False,True,False
2023-01-09 17:00:00,6.1,108.0,,0.0,False,False,True,False
2023-01-09 18:00:00,6.7,111.6,,0.0,False,False,True,False
2023-01-09 19:00:00,6.7,108.0,,0.0,False,False,True,False
2023-01-09 20:00:00,6.1,93.6,,0.0,False,False,True,False
2023-01-09 21:00:00,5.0,108.0,,0.0,False,False,True,False
2023-01-09 22:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-09 23:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-10 00:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-10 01:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-10 02:00:00,3.9,93.6,,0.0,False,False,True,False
2023-01-10 03:00:00,3.9,90.0,,0.0,False,False,True,False
2023-01-10 04:00:00,3.9,359.64,,0.3,True,False,True,False
2023-01-10 05:00:00,3.3,100.8,,0.0,False,False,True,False
2023-01-10 06:00:00,3.9,104.4,,0.0,False,False,True,False
2023-01-10 07:00:00,3.9,97.2,,0.0,False,False,True,False
2023-01-10 08:00:00,3.3,359.64,,0.0,False,False,True,False
2023-01-10 09:00:00,3.9,359.64,,0.0,False,False,True,False
2023-01-10 10:00:00,3.3,100.8,,0.0,False,False,True,False
2023-01-10 11:00:00,3.9,97.2,,0.0,False,False,True,False
2023-01-10 12:00:00,3.3,359.64,,0.0,False,False,True,False
2023-01-10 13:00:00,4.4,97.2,,0.0,False,False,True,False
2023-01-10 14:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-10 15:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-10 16:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-10 17:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-10 18:00:00,5.0,97.2,,0.0,False,False,True,False
2023-01-10 19:00:00,5.0,100.8,,0.0,False,False,True,False
2023-01-10 20:00:00,5.0,359.64,,0.0,False,False,True,False
2023-01-10 21:00:00,5.0,359.64,,0.0,False,False,True,False
2023-01-10 22:00:00,5.0,111.6,,0.0,False,False,True,False
2023-01-10 23:00:00,5.0,359.64,,0.0,False,False,True,False
2023-01-11 00:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-11 01:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-11 02:00:00,3.9,359.64,,0.0,False,False,True,False
2023-01-11 03:00:00,3.9,122.4,,0.0,False,False,True,False
2023-01-11 04:00:00,3.9,188.82,,0.0,False,False,True,False
2023-01-11 05:00:00,3.9,18.0,,0.0,False,False,False,False
2023-01-11 06:00:00,3.9,25.2,,0.0,False,False,True,False
2023-01-11 07:00:00,3.3,28.8,,0.0,False,False,True,False
2023-01-11 08:00:00,2.8,21.6,,0.0,False,False,False,False
2023-01-11 09:00:00,2.8,7.2,,0.0,False,False,False,False
2023-01-11 10:00:00,2.2,21.6,,0.0,False,False,False,False
2023-01-11 11:00:00,1.7,21.6,,0.0,False,False,False,False
2023-01-11 12:00:00,1.7,359.64,,0.0,False,False,True,False
